Vardas          Pavarde                           ND1       ND2       ND3       Egz.      
Vardas116       Pavarde116                        1         8         1         7         
Vardas117       Pavarde117                        10        8         2         6         
Vardas118       Pavarde118                        4         1         10        4         
Vardas119       Pavarde119                        6         3         3         8         
Vardas120       Pavarde120                        7         10        5         4         
Vardas121       Pavarde121                        5         3         4         9         
Vardas122       Pavarde122                        6         10        2         4         
Vardas123       Pavarde123                        1         4         7         7         
Vardas124       Pavarde124                        3         9         10        10        
Vardas125       Pavarde125                        3         1         8         10        
Vardas126       Pavarde126                        8         10        9         8         
Vardas127       Pavarde127                        10        4         1         6         
Vardas128       Pavarde128                        4         8         10        6         
Vardas129       Pavarde129                        7         9         7         2         
Vardas130       Pavarde130                        9         4         7         5         
Vardas131       Pavarde131                        1         3         7         2         
Vardas132       Pavarde132                        9         5         1         6         
Vardas133       Pavarde133                        3         10        5         1         
Vardas134       Pavarde134                        8         10        8         5         
Vardas135       Pavarde135                        9         8         6         2         
Vardas136       Pavarde136                        1         3         1         3         
Vardas137       Pavarde137                        9         2         1         1         
Vardas138       Pavarde138                        10        8         8         2         
Vardas139       Pavarde139                        8         9         9         3         
Vardas140       Pavarde140                        3         10        6         4         
Vardas141       Pavarde141                        3         2         8         7         
Vardas142       Pavarde142                        9         8         3         6         
Vardas143       Pavarde143                        7         7         2         3         
Vardas144       Pavarde144                        4         3         7         10        
Vardas145       Pavarde145                        3         2         8         9         
Vardas146       Pavarde146                        1         10        3         8         
Vardas147       Pavarde147                        3         3         5         1         
Vardas148       Pavarde148                        5         8         10        7         
Vardas149       Pavarde149                        9         10        4         1         
Vardas150       Pavarde150                        1         10        6         9         
Vardas151       Pavarde151                        7         5         5         10        
Vardas152       Pavarde152                        1         1         3         2         
Vardas153       Pavarde153                        10        1         3         9         
Vardas154       Pavarde154                        10        4         4         3         
Vardas155       Pavarde155                        4         7         10        10        
Vardas156       Pavarde156                        7         1         3         2         
Vardas157       Pavarde157                        10        6         1         1         
Vardas158       Pavarde158                        7         4         6         5         
Vardas159       Pavarde159                        6         6         2         10        
Vardas160       Pavarde160                        8         6         4         3         
Vardas161       Pavarde161                        4         5         10        9         
Vardas162       Pavarde162                        4         6         6         2         
Vardas163       Pavarde163                        10        1         10        9         
Vardas164       Pavarde164                        10        8         7         2         
Vardas165       Pavarde165                        3         6         1         2         
Vardas166       Pavarde166                        5         2         3         7         
Vardas167       Pavarde167                        6         6         10        2         
Vardas168       Pavarde168                        5         2         7         8         
Vardas169       Pavarde169                        4         6         3         10        
Vardas170       Pavarde170                        4         2         7         1         
Vardas171       Pavarde171                        4         7         4         8         
Vardas172       Pavarde172                        5         7         1         10        
Vardas173       Pavarde173                        6         3         5         5         
Vardas174       Pavarde174                        10        4         7         6         
Vardas175       Pavarde175                        10        3         5         2         
Vardas176       Pavarde176                        3         10        10        6         
Vardas177       Pavarde177                        9         10        7         10        
Vardas178       Pavarde178                        6         6         9         9         
Vardas179       Pavarde179                        8         5         2         8         
Vardas180       Pavarde180                        3         5         1         9         
Vardas181       Pavarde181                        4         10        7         3         
Vardas182       Pavarde182                        5         2         9         3         
Vardas183       Pavarde183                        3         5         5         5         
Vardas184       Pavarde184                        9         2         9         4         
Vardas185       Pavarde185                        1         1         6         10        
Vardas186       Pavarde186                        8         8         9         10        
Vardas187       Pavarde187                        1         6         6         4         
Vardas188       Pavarde188                        8         2         5         9         
Vardas189       Pavarde189                        7         9         7         1         
Vardas190       Pavarde190                        8         4         9         8         
Vardas191       Pavarde191                        5         4         8         5         
Vardas192       Pavarde192                        2         10        9         7         
Vardas193       Pavarde193                        9         3         3         2         
Vardas194       Pavarde194                        6         10        5         7         
Vardas195       Pavarde195                        4         2         1         3         
Vardas196       Pavarde196                        7         9         8         9         
Vardas197       Pavarde197                        8         9         2         5         
Vardas198       Pavarde198                        2         3         1         7         
Vardas199       Pavarde199                        9         3         1         9         
Vardas200       Pavarde200                        2         6         4         8         
Vardas201       Pavarde201                        9         1         10        7         
Vardas202       Pavarde202                        5         7         10        3         
Vardas203       Pavarde203                        7         5         5         10        
Vardas204       Pavarde204                        2         8         1         10        
Vardas205       Pavarde205                        8         4         2         6         
Vardas206       Pavarde206                        5         9         2         1         
Vardas207       Pavarde207                        5         4         3         7         
Vardas208       Pavarde208                        3         10        4         4         
Vardas209       Pavarde209                        4         7         5         8         
Vardas210       Pavarde210                        3         5         6         3         
Vardas211       Pavarde211                        10        9         2         3         
Vardas212       Pavarde212                        3         2         10        9         
Vardas213       Pavarde213                        9         4         10        8         
Vardas214       Pavarde214                        6         9         9         6         
Vardas215       Pavarde215                        6         5         1         2         
Vardas216       Pavarde216                        4         6         2         5         
Vardas217       Pavarde217                        5         7         1         9         
Vardas218       Pavarde218                        10        1         3         6         
Vardas219       Pavarde219                        10        2         7         3         
Vardas220       Pavarde220                        8         9         3         3         
Vardas221       Pavarde221                        2         9         2         10        
Vardas222       Pavarde222                        4         6         1         5         
Vardas223       Pavarde223                        7         10        6         3         
Vardas224       Pavarde224                        10        4         6         4         
Vardas225       Pavarde225                        6         3         8         3         
Vardas226       Pavarde226                        9         8         4         1         
Vardas227       Pavarde227                        8         10        9         6         
Vardas228       Pavarde228                        4         2         2         9         
Vardas229       Pavarde229                        8         3         2         4         
Vardas230       Pavarde230                        1         2         1         7         
Vardas231       Pavarde231                        6         1         5         5         
Vardas232       Pavarde232                        8         3         5         1         
Vardas233       Pavarde233                        8         9         10        2         
Vardas234       Pavarde234                        5         10        5         9         
Vardas235       Pavarde235                        9         3         5         9         
Vardas236       Pavarde236                        5         3         3         4         
Vardas237       Pavarde237                        4         6         1         9         
Vardas238       Pavarde238                        10        1         4         3         
Vardas239       Pavarde239                        2         6         9         1         
Vardas240       Pavarde240                        10        7         7         7         
Vardas241       Pavarde241                        2         8         6         7         
Vardas242       Pavarde242                        4         7         3         2         
Vardas243       Pavarde243                        2         3         10        8         
Vardas244       Pavarde244                        9         3         5         9         
Vardas245       Pavarde245                        10        8         7         4         
Vardas246       Pavarde246                        10        8         1         8         
Vardas247       Pavarde247                        2         7         7         5         
Vardas248       Pavarde248                        4         7         2         10        
Vardas249       Pavarde249                        8         5         9         2         
Vardas250       Pavarde250                        3         6         8         1         
Vardas251       Pavarde251                        3         2         3         2         
Vardas252       Pavarde252                        9         10        9         9         
Vardas253       Pavarde253                        8         2         4         5         
Vardas254       Pavarde254                        9         10        5         1         
Vardas255       Pavarde255                        10        7         10        10        
Vardas256       Pavarde256                        4         2         1         2         
Vardas257       Pavarde257                        9         2         5         4         
Vardas258       Pavarde258                        10        6         8         5         
Vardas259       Pavarde259                        6         5         1         10        
Vardas260       Pavarde260                        2         2         7         10        
Vardas261       Pavarde261                        1         6         7         1         
Vardas262       Pavarde262                        2         7         1         5         
Vardas263       Pavarde263                        6         2         6         4         
Vardas264       Pavarde264                        10        2         2         1         
Vardas265       Pavarde265                        9         2         2         10        
Vardas266       Pavarde266                        8         5         2         3         
Vardas267       Pavarde267                        10        4         1         7         
Vardas268       Pavarde268                        2         9         5         9         
Vardas269       Pavarde269                        8         1         2         2         
Vardas270       Pavarde270                        4         10        3         2         
Vardas271       Pavarde271                        3         6         1         3         
Vardas272       Pavarde272                        2         3         7         4         
Vardas273       Pavarde273                        9         9         8         9         
Vardas274       Pavarde274                        10        8         8         4         
Vardas275       Pavarde275                        10        10        4         6         
Vardas276       Pavarde276                        4         1         6         7         
Vardas277       Pavarde277                        9         8         7         9         
Vardas278       Pavarde278                        3         9         5         7         
Vardas279       Pavarde279                        3         1         8         8         
Vardas280       Pavarde280                        6         10        7         7         
Vardas281       Pavarde281                        2         5         3         10        
Vardas282       Pavarde282                        2         9         8         5         
Vardas283       Pavarde283                        6         2         6         1         
Vardas284       Pavarde284                        5         5         2         7         
Vardas285       Pavarde285                        9         1         3         4         
Vardas286       Pavarde286                        9         8         5         3         
Vardas287       Pavarde287                        6         3         7         6         
Vardas288       Pavarde288                        4         6         1         10        
Vardas289       Pavarde289                        10        4         4         4         
Vardas290       Pavarde290                        9         8         9         9         
Vardas291       Pavarde291                        7         8         9         7         
Vardas292       Pavarde292                        5         10        1         4         
Vardas293       Pavarde293                        1         4         1         8         
Vardas294       Pavarde294                        1         9         2         3         
Vardas295       Pavarde295                        2         4         2         8         
Vardas296       Pavarde296                        6         3         4         5         
Vardas297       Pavarde297                        2         8         2         10        
Vardas298       Pavarde298                        2         5         5         8         
Vardas299       Pavarde299                        6         10        9         9         
Vardas300       Pavarde300                        10        8         6         9         
Vardas301       Pavarde301                        5         1         7         2         
Vardas302       Pavarde302                        10        6         5         8         
Vardas303       Pavarde303                        4         8         2         7         
Vardas304       Pavarde304                        3         6         4         3         
Vardas305       Pavarde305                        9         7         5         10        
Vardas306       Pavarde306                        6         2         2         3         
Vardas307       Pavarde307                        5         3         9         2         
Vardas308       Pavarde308                        5         2         1         9         
Vardas309       Pavarde309                        4         2         9         1         
Vardas310       Pavarde310                        1         9         10        7         
Vardas311       Pavarde311                        8         7         3         3         
Vardas312       Pavarde312                        10        9         3         6         
Vardas313       Pavarde313                        1         9         3         7         
Vardas314       Pavarde314                        7         7         5         1         
Vardas315       Pavarde315                        3         10        4         5         
Vardas316       Pavarde316                        4         4         6         8         
Vardas317       Pavarde317                        1         6         3         2         
Vardas318       Pavarde318                        4         2         1         1         
Vardas319       Pavarde319                        3         9         3         4         
Vardas320       Pavarde320                        6         2         7         8         
Vardas321       Pavarde321                        8         5         7         4         
Vardas322       Pavarde322                        3         7         1         5         
Vardas323       Pavarde323                        9         1         10        3         
Vardas324       Pavarde324                        1         2         2         1         
Vardas325       Pavarde325                        2         3         7         7         
Vardas326       Pavarde326                        6         8         6         1         
Vardas327       Pavarde327                        10        3         9         2         
Vardas328       Pavarde328                        3         3         6         5         
Vardas329       Pavarde329                        6         3         7         10        
Vardas330       Pavarde330                        3         4         6         9         
Vardas331       Pavarde331                        9         1         5         5         
Vardas332       Pavarde332                        8         4         4         3         
Vardas333       Pavarde333                        9         7         7         9         
Vardas334       Pavarde334                        10        5         2         8         
Vardas335       Pavarde335                        6         3         10        10        
Vardas336       Pavarde336                        3         6         3         6         
Vardas337       Pavarde337                        5         1         3         6         
Vardas338       Pavarde338                        8         1         8         5         
Vardas339       Pavarde339                        5         2         9         4         
Vardas340       Pavarde340                        10        8         6         7         
Vardas341       Pavarde341                        5         8         7         8         
Vardas342       Pavarde342                        4         8         5         8         
Vardas343       Pavarde343                        5         1         4         2         
Vardas344       Pavarde344                        5         7         2         9         
Vardas345       Pavarde345                        3         7         10        3         
Vardas346       Pavarde346                        2         3         1         7         
Vardas347       Pavarde347                        10        2         4         5         
Vardas348       Pavarde348                        9         4         10        6         
Vardas349       Pavarde349                        5         4         10        2         
Vardas350       Pavarde350                        9         8         1         6         
Vardas351       Pavarde351                        1         1         1         8         
Vardas352       Pavarde352                        8         5         5         1         
Vardas353       Pavarde353                        6         5         4         8         
Vardas354       Pavarde354                        6         4         9         9         
Vardas355       Pavarde355                        3         7         3         8         
Vardas356       Pavarde356                        6         3         10        1         
Vardas357       Pavarde357                        8         1         1         2         
Vardas358       Pavarde358                        1         7         1         7         
Vardas359       Pavarde359                        3         7         1         6         
Vardas360       Pavarde360                        4         2         8         8         
Vardas361       Pavarde361                        2         3         9         7         
Vardas362       Pavarde362                        9         6         10        6         
Vardas363       Pavarde363                        9         9         5         10        
Vardas364       Pavarde364                        10        3         10        3         
Vardas365       Pavarde365                        7         9         3         7         
Vardas366       Pavarde366                        9         9         8         8         
Vardas367       Pavarde367                        8         2         10        7         
Vardas368       Pavarde368                        8         7         4         5         
Vardas369       Pavarde369                        5         1         8         7         
Vardas370       Pavarde370                        3         1         10        4         
Vardas371       Pavarde371                        3         6         4         8         
Vardas372       Pavarde372                        8         3         3         9         
Vardas373       Pavarde373                        2         8         10        6         
Vardas374       Pavarde374                        8         9         4         6         
Vardas375       Pavarde375                        7         1         1         7         
Vardas376       Pavarde376                        7         9         9         5         
Vardas377       Pavarde377                        1         4         2         6         
Vardas378       Pavarde378                        7         3         3         2         
Vardas379       Pavarde379                        1         5         10        3         
Vardas380       Pavarde380                        4         6         4         10        
Vardas381       Pavarde381                        1         8         9         6         
Vardas382       Pavarde382                        10        2         5         8         
Vardas383       Pavarde383                        8         8         1         7         
Vardas384       Pavarde384                        6         6         5         3         
Vardas385       Pavarde385                        6         5         6         4         
Vardas386       Pavarde386                        8         9         1         5         
Vardas387       Pavarde387                        7         4         8         6         
Vardas388       Pavarde388                        10        6         1         2         
Vardas389       Pavarde389                        7         4         4         5         
Vardas390       Pavarde390                        5         10        5         3         
Vardas391       Pavarde391                        8         8         4         1         
Vardas392       Pavarde392                        1         10        8         8         
Vardas393       Pavarde393                        6         8         9         8         
Vardas394       Pavarde394                        8         5         10        10        
Vardas395       Pavarde395                        4         6         2         4         
Vardas396       Pavarde396                        8         5         6         4         
Vardas397       Pavarde397                        9         10        3         3         
Vardas398       Pavarde398                        4         4         6         5         
Vardas399       Pavarde399                        2         5         8         6         
Vardas400       Pavarde400                        6         7         6         5         
Vardas401       Pavarde401                        10        10        6         1         
Vardas402       Pavarde402                        1         7         3         8         
Vardas403       Pavarde403                        7         10        4         4         
Vardas404       Pavarde404                        2         4         6         9         
Vardas405       Pavarde405                        3         2         7         5         
Vardas406       Pavarde406                        10        4         10        5         
Vardas407       Pavarde407                        10        1         6         3         
Vardas408       Pavarde408                        6         7         4         1         
Vardas409       Pavarde409                        7         5         4         3         
Vardas410       Pavarde410                        6         9         1         8         
Vardas411       Pavarde411                        8         2         7         6         
Vardas412       Pavarde412                        10        4         7         2         
Vardas413       Pavarde413                        10        8         10        3         
Vardas414       Pavarde414                        8         2         9         10        
Vardas415       Pavarde415                        6         10        8         9         
Vardas416       Pavarde416                        6         1         5         10        
Vardas417       Pavarde417                        8         5         2         2         
Vardas418       Pavarde418                        2         9         6         9         
Vardas419       Pavarde419                        2         8         6         9         
Vardas420       Pavarde420                        5         3         5         10        
Vardas421       Pavarde421                        7         8         10        10        
Vardas422       Pavarde422                        9         6         1         9         
Vardas423       Pavarde423                        3         8         6         5         
Vardas424       Pavarde424                        9         2         6         3         
Vardas425       Pavarde425                        1         8         7         3         
Vardas426       Pavarde426                        6         5         8         7         
Vardas427       Pavarde427                        6         3         5         4         
Vardas428       Pavarde428                        10        6         5         10        
Vardas429       Pavarde429                        2         2         1         9         
Vardas430       Pavarde430                        1         10        8         7         
Vardas431       Pavarde431                        4         5         9         2         
Vardas432       Pavarde432                        3         4         7         5         
Vardas433       Pavarde433                        6         10        3         2         
Vardas434       Pavarde434                        7         7         6         7         
Vardas435       Pavarde435                        4         4         9         8         
Vardas436       Pavarde436                        2         1         7         1         
Vardas437       Pavarde437                        8         4         4         9         
Vardas438       Pavarde438                        6         4         10        3         
Vardas439       Pavarde439                        6         7         7         1         
Vardas440       Pavarde440                        7         6         4         5         
Vardas441       Pavarde441                        8         8         4         10        
Vardas442       Pavarde442                        9         5         2         5         
Vardas443       Pavarde443                        8         5         3         2         
Vardas444       Pavarde444                        9         6         7         9         
Vardas445       Pavarde445                        6         7         2         3         
Vardas446       Pavarde446                        5         8         6         6         
Vardas447       Pavarde447                        1         9         3         4         
Vardas448       Pavarde448                        6         2         10        6         
Vardas449       Pavarde449                        10        4         6         7         
Vardas450       Pavarde450                        10        5         6         4         
Vardas451       Pavarde451                        5         7         10        9         
Vardas452       Pavarde452                        5         1         10        7         
Vardas453       Pavarde453                        10        9         9         7         
Vardas454       Pavarde454                        3         1         7         6         
Vardas455       Pavarde455                        1         9         9         6         
Vardas456       Pavarde456                        6         2         9         5         
Vardas457       Pavarde457                        4         5         6         9         
Vardas458       Pavarde458                        9         7         10        10        
Vardas459       Pavarde459                        1         10        8         6         
Vardas460       Pavarde460                        3         2         5         1         
Vardas461       Pavarde461                        10        3         5         2         
Vardas462       Pavarde462                        9         7         9         10        
Vardas463       Pavarde463                        4         2         1         8         
Vardas464       Pavarde464                        7         8         5         3         
Vardas465       Pavarde465                        7         10        5         1         
Vardas466       Pavarde466                        9         2         5         3         
Vardas467       Pavarde467                        8         10        4         10        
Vardas468       Pavarde468                        4         9         2         3         
Vardas469       Pavarde469                        9         1         8         10        
Vardas470       Pavarde470                        3         1         2         2         
Vardas471       Pavarde471                        10        7         8         3         
Vardas472       Pavarde472                        8         10        7         8         
Vardas473       Pavarde473                        8         9         5         6         
Vardas474       Pavarde474                        10        4         6         1         
Vardas475       Pavarde475                        6         5         10        4         
Vardas476       Pavarde476                        5         10        9         6         
Vardas477       Pavarde477                        6         4         7         3         
Vardas478       Pavarde478                        1         8         5         1         
Vardas479       Pavarde479                        7         6         8         4         
Vardas480       Pavarde480                        6         5         5         5         
Vardas481       Pavarde481                        1         2         6         10        
Vardas482       Pavarde482                        7         5         1         1         
Vardas483       Pavarde483                        8         1         8         10        
Vardas484       Pavarde484                        1         1         4         9         
Vardas485       Pavarde485                        4         3         9         2         
Vardas486       Pavarde486                        9         6         4         3         
Vardas487       Pavarde487                        1         1         1         8         
Vardas488       Pavarde488                        5         5         4         10        
Vardas489       Pavarde489                        9         3         2         9         
