Vardas          Pavarde                           ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas111       Pavarde111                        9         9         6         8         1         2         
Vardas112       Pavarde112                        2         9         9         10        8         8         
Vardas113       Pavarde113                        5         2         10        1         1         9         
Vardas114       Pavarde114                        3         7         1         5         9         8         
Vardas115       Pavarde115                        1         9         9         5         2         6         
Vardas116       Pavarde116                        1         3         7         7         1         8         
Vardas117       Pavarde117                        8         6         3         8         3         6         
Vardas118       Pavarde118                        1         2         5         8         5         6         
Vardas119       Pavarde119                        5         3         10        8         4         4         
Vardas120       Pavarde120                        1         6         7         2         5         2         
Vardas121       Pavarde121                        3         7         3         9         8         9         
Vardas122       Pavarde122                        7         6         7         7         9         4         
Vardas123       Pavarde123                        9         2         8         5         1         7         
Vardas124       Pavarde124                        6         3         5         7         9         10        
Vardas125       Pavarde125                        9         1         6         7         1         9         
Vardas126       Pavarde126                        10        5         3         2         7         2         
Vardas127       Pavarde127                        6         6         2         7         8         5         
Vardas128       Pavarde128                        2         4         8         8         9         10        
Vardas129       Pavarde129                        4         5         9         3         1         9         
Vardas130       Pavarde130                        6         4         8         10        6         10        
Vardas131       Pavarde131                        8         10        9         5         2         10        
Vardas132       Pavarde132                        8         6         9         7         7         8         
Vardas133       Pavarde133                        2         5         6         5         9         1         
Vardas134       Pavarde134                        10        5         5         3         3         2         
Vardas135       Pavarde135                        5         6         2         2         2         4         
Vardas136       Pavarde136                        3         10        10        6         6         8         
Vardas137       Pavarde137                        3         3         6         3         8         8         
Vardas138       Pavarde138                        10        8         4         2         10        9         
Vardas139       Pavarde139                        1         10        9         8         9         6         
Vardas140       Pavarde140                        2         2         4         2         4         8         
Vardas141       Pavarde141                        1         8         3         9         2         4         
Vardas142       Pavarde142                        2         10        3         2         2         9         
Vardas143       Pavarde143                        1         3         2         8         4         10        
Vardas144       Pavarde144                        5         10        2         5         2         2         
Vardas145       Pavarde145                        5         4         2         2         9         1         
Vardas146       Pavarde146                        2         3         4         1         7         3         
Vardas147       Pavarde147                        5         1         3         10        5         4         
Vardas148       Pavarde148                        1         9         4         3         7         1         
Vardas149       Pavarde149                        7         8         5         10        3         10        
Vardas150       Pavarde150                        10        5         9         4         9         4         
Vardas151       Pavarde151                        4         1         1         1         1         5         
Vardas152       Pavarde152                        7         2         8         5         10        8         
Vardas153       Pavarde153                        6         1         7         8         7         3         
Vardas154       Pavarde154                        10        2         9         5         9         4         
Vardas155       Pavarde155                        4         4         7         9         6         1         
Vardas156       Pavarde156                        9         4         7         1         3         4         
Vardas157       Pavarde157                        2         5         9         3         2         2         
Vardas158       Pavarde158                        7         8         4         10        10        3         
Vardas159       Pavarde159                        3         5         7         6         5         7         
Vardas160       Pavarde160                        9         7         6         4         1         6         
Vardas161       Pavarde161                        9         1         6         7         1         10        
Vardas162       Pavarde162                        2         7         5         10        5         1         
Vardas163       Pavarde163                        4         8         8         3         1         8         
Vardas164       Pavarde164                        3         7         9         10        6         3         
Vardas165       Pavarde165                        9         6         5         6         7         7         
Vardas166       Pavarde166                        10        5         5         1         6         2         
Vardas167       Pavarde167                        3         7         10        2         7         6         
Vardas168       Pavarde168                        3         10        5         1         5         9         
Vardas169       Pavarde169                        10        7         8         9         4         7         
Vardas170       Pavarde170                        7         7         2         7         7         10        
Vardas171       Pavarde171                        4         6         8         9         5         2         
Vardas172       Pavarde172                        8         2         7         6         1         7         
Vardas173       Pavarde173                        4         1         9         4         9         5         
Vardas174       Pavarde174                        10        7         9         10        6         4         
Vardas175       Pavarde175                        7         10        2         5         1         9         
Vardas176       Pavarde176                        9         1         2         7         5         10        
Vardas177       Pavarde177                        9         6         2         6         10        9         
Vardas178       Pavarde178                        3         3         4         6         7         10        
Vardas179       Pavarde179                        5         3         6         5         7         6         
Vardas180       Pavarde180                        9         9         8         8         10        3         
Vardas181       Pavarde181                        9         7         9         9         8         4         
Vardas182       Pavarde182                        8         10        10        8         6         9         
Vardas183       Pavarde183                        1         5         6         6         1         6         
Vardas184       Pavarde184                        3         4         3         2         6         5         
Vardas185       Pavarde185                        1         9         2         3         5         8         
Vardas186       Pavarde186                        8         3         3         7         7         4         
Vardas187       Pavarde187                        5         2         9         1         6         6         
Vardas188       Pavarde188                        6         2         5         7         9         9         
Vardas189       Pavarde189                        2         6         7         2         3         5         
Vardas190       Pavarde190                        10        4         8         5         1         10        
Vardas191       Pavarde191                        3         2         2         6         7         2         
Vardas192       Pavarde192                        6         10        1         4         1         8         
Vardas193       Pavarde193                        6         3         2         8         3         7         
Vardas194       Pavarde194                        2         4         4         4         7         10        
Vardas195       Pavarde195                        2         2         5         6         3         9         
Vardas196       Pavarde196                        2         2         6         6         7         8         
Vardas197       Pavarde197                        4         5         6         6         3         10        
Vardas198       Pavarde198                        7         10        8         10        4         6         
Vardas199       Pavarde199                        5         2         1         9         2         4         
Vardas200       Pavarde200                        4         5         9         10        1         1         
Vardas201       Pavarde201                        6         10        5         3         7         7         
Vardas202       Pavarde202                        5         8         4         10        2         5         
Vardas203       Pavarde203                        5         7         3         5         9         9         
Vardas204       Pavarde204                        6         6         7         1         6         5         
Vardas205       Pavarde205                        9         2         2         2         10        8         
Vardas206       Pavarde206                        8         10        4         5         1         6         
Vardas207       Pavarde207                        9         8         4         6         3         8         
Vardas208       Pavarde208                        1         10        8         4         5         5         
Vardas209       Pavarde209                        8         3         10        8         6         6         
Vardas210       Pavarde210                        7         6         3         4         3         3         
Vardas211       Pavarde211                        7         8         10        4         3         2         
Vardas212       Pavarde212                        2         4         1         2         6         10        
Vardas213       Pavarde213                        6         9         9         1         4         3         
Vardas214       Pavarde214                        3         6         4         8         5         6         
Vardas215       Pavarde215                        10        2         10        2         6         10        
Vardas216       Pavarde216                        3         2         9         4         9         6         
Vardas217       Pavarde217                        4         1         1         9         8         2         
Vardas218       Pavarde218                        5         7         6         8         8         4         
Vardas219       Pavarde219                        7         5         7         8         6         7         
Vardas220       Pavarde220                        1         3         10        6         7         6         
Vardas221       Pavarde221                        1         6         2         9         4         3         
Vardas222       Pavarde222                        5         5         1         8         5         1         
Vardas223       Pavarde223                        6         10        8         5         10        4         
Vardas224       Pavarde224                        4         10        9         1         8         10        
Vardas225       Pavarde225                        4         3         3         8         5         10        
Vardas226       Pavarde226                        7         7         10        6         7         1         
Vardas227       Pavarde227                        3         4         3         6         1         2         
Vardas228       Pavarde228                        6         10        4         8         9         2         
Vardas229       Pavarde229                        5         3         3         5         5         9         
Vardas230       Pavarde230                        7         5         3         10        8         10        
Vardas231       Pavarde231                        4         9         9         3         10        10        
Vardas232       Pavarde232                        7         5         6         1         3         2         
Vardas233       Pavarde233                        7         7         8         5         8         1         
Vardas234       Pavarde234                        7         9         9         3         8         9         
Vardas235       Pavarde235                        5         6         4         9         3         9         
Vardas236       Pavarde236                        8         8         10        4         3         2         
Vardas237       Pavarde237                        2         7         6         6         7         1         
Vardas238       Pavarde238                        4         6         3         9         7         5         
Vardas239       Pavarde239                        10        4         1         10        4         7         
Vardas240       Pavarde240                        3         9         5         9         2         8         
Vardas241       Pavarde241                        4         9         5         5         6         7         
Vardas242       Pavarde242                        2         10        9         8         7         7         
Vardas243       Pavarde243                        4         9         1         1         8         2         
Vardas244       Pavarde244                        7         3         9         9         5         1         
Vardas245       Pavarde245                        1         4         6         9         10        6         
Vardas246       Pavarde246                        1         7         5         4         8         2         
Vardas247       Pavarde247                        1         10        4         1         4         4         
Vardas248       Pavarde248                        8         9         3         9         4         9         
Vardas249       Pavarde249                        8         7         10        8         6         1         
Vardas250       Pavarde250                        9         5         8         5         5         2         
Vardas251       Pavarde251                        6         1         7         4         7         5         
Vardas252       Pavarde252                        8         6         3         8         5         8         
Vardas253       Pavarde253                        6         9         9         5         5         4         
Vardas254       Pavarde254                        3         6         2         2         10        1         
Vardas255       Pavarde255                        8         3         9         5         10        5         
Vardas256       Pavarde256                        10        6         10        1         6         5         
Vardas257       Pavarde257                        4         7         7         2         3         6         
Vardas258       Pavarde258                        7         4         6         5         6         2         
Vardas259       Pavarde259                        5         1         10        8         10        1         
Vardas260       Pavarde260                        4         7         4         5         1         1         
Vardas261       Pavarde261                        10        8         3         3         9         9         
Vardas262       Pavarde262                        6         5         6         6         2         10        
Vardas263       Pavarde263                        6         9         3         7         4         7         
Vardas264       Pavarde264                        1         1         4         10        9         4         
Vardas265       Pavarde265                        9         2         10        5         2         10        
Vardas266       Pavarde266                        4         7         5         8         6         10        
Vardas267       Pavarde267                        8         4         6         6         6         6         
Vardas268       Pavarde268                        7         4         9         4         5         9         
Vardas269       Pavarde269                        3         4         2         4         10        4         
Vardas270       Pavarde270                        3         5         8         6         6         6         
Vardas271       Pavarde271                        8         1         3         5         10        6         
Vardas272       Pavarde272                        3         5         2         2         8         10        
Vardas273       Pavarde273                        10        6         10        3         9         1         
Vardas274       Pavarde274                        6         5         8         1         10        1         
Vardas275       Pavarde275                        2         8         2         1         2         10        
Vardas276       Pavarde276                        4         5         5         6         2         7         
Vardas277       Pavarde277                        1         7         4         3         5         5         
Vardas278       Pavarde278                        9         8         1         5         9         5         
Vardas279       Pavarde279                        9         6         6         1         6         7         
Vardas280       Pavarde280                        7         5         9         8         9         4         
Vardas281       Pavarde281                        10        3         6         5         9         4         
Vardas282       Pavarde282                        2         5         5         10        4         10        
Vardas283       Pavarde283                        8         1         2         7         3         2         
Vardas284       Pavarde284                        6         6         2         4         4         5         
Vardas285       Pavarde285                        10        2         2         6         6         7         
Vardas286       Pavarde286                        8         2         3         3         6         5         
Vardas287       Pavarde287                        1         7         9         5         2         5         
Vardas288       Pavarde288                        3         2         4         2         3         7         
Vardas289       Pavarde289                        8         8         1         5         6         6         
Vardas290       Pavarde290                        4         8         9         6         2         6         
Vardas291       Pavarde291                        4         7         10        8         10        8         
Vardas292       Pavarde292                        10        3         6         4         5         1         
Vardas293       Pavarde293                        8         6         9         8         2         2         
Vardas294       Pavarde294                        8         6         5         7         2         2         
Vardas295       Pavarde295                        6         10        4         4         10        10        
Vardas296       Pavarde296                        3         10        5         8         8         4         
Vardas297       Pavarde297                        9         3         5         1         5         10        
Vardas298       Pavarde298                        10        5         6         1         10        6         
Vardas299       Pavarde299                        4         3         7         4         7         7         
Vardas300       Pavarde300                        2         4         4         7         1         3         
Vardas301       Pavarde301                        3         1         3         8         4         6         
Vardas302       Pavarde302                        4         10        5         5         7         4         
Vardas303       Pavarde303                        5         9         10        3         3         6         
Vardas304       Pavarde304                        6         2         10        9         8         9         
Vardas305       Pavarde305                        10        7         9         3         6         8         
Vardas306       Pavarde306                        2         4         1         9         6         3         
Vardas307       Pavarde307                        3         6         5         1         9         2         
Vardas308       Pavarde308                        9         3         10        4         7         8         
Vardas309       Pavarde309                        10        9         5         5         4         10        
Vardas310       Pavarde310                        6         2         4         4         8         3         
Vardas311       Pavarde311                        3         1         3         4         10        10        
Vardas312       Pavarde312                        2         1         7         10        9         5         
Vardas313       Pavarde313                        10        7         4         7         7         3         
Vardas314       Pavarde314                        4         5         10        10        1         5         
Vardas315       Pavarde315                        6         9         10        2         6         8         
Vardas316       Pavarde316                        4         9         10        2         1         4         
Vardas317       Pavarde317                        6         5         4         2         6         8         
Vardas318       Pavarde318                        4         9         7         3         2         10        
Vardas319       Pavarde319                        2         3         9         2         7         1         
Vardas320       Pavarde320                        7         8         3         7         10        9         
Vardas321       Pavarde321                        2         2         3         9         8         2         
Vardas322       Pavarde322                        4         7         2         6         10        3         
Vardas323       Pavarde323                        1         9         3         4         9         10        
Vardas324       Pavarde324                        1         4         3         9         3         3         
Vardas325       Pavarde325                        7         8         9         5         7         5         
Vardas326       Pavarde326                        7         5         7         5         5         5         
Vardas327       Pavarde327                        6         6         3         6         9         3         
Vardas328       Pavarde328                        5         8         3         8         6         5         
Vardas329       Pavarde329                        3         7         5         9         5         7         
Vardas330       Pavarde330                        7         3         4         8         1         4         
Vardas331       Pavarde331                        3         9         3         3         8         5         
Vardas332       Pavarde332                        9         6         10        3         2         6         
Vardas333       Pavarde333                        1         10        5         1         8         1         
Vardas334       Pavarde334                        9         2         9         5         2         7         
Vardas335       Pavarde335                        5         2         3         10        3         6         
Vardas336       Pavarde336                        7         6         5         4         6         9         
Vardas337       Pavarde337                        4         3         4         3         4         10        
Vardas338       Pavarde338                        5         8         8         2         7         5         
Vardas339       Pavarde339                        5         5         4         3         6         4         
Vardas340       Pavarde340                        5         8         2         9         9         8         
Vardas341       Pavarde341                        6         5         1         1         7         2         
Vardas342       Pavarde342                        8         9         10        4         6         9         
Vardas343       Pavarde343                        10        7         2         9         9         6         
Vardas344       Pavarde344                        7         8         2         5         9         10        
Vardas345       Pavarde345                        5         1         10        4         5         8         
Vardas346       Pavarde346                        4         7         5         9         9         9         
Vardas347       Pavarde347                        8         7         9         4         9         8         
Vardas348       Pavarde348                        8         5         1         4         6         3         
Vardas349       Pavarde349                        4         4         8         4         4         3         
Vardas350       Pavarde350                        5         10        3         4         5         5         
Vardas351       Pavarde351                        10        8         3         2         2         10        
Vardas352       Pavarde352                        1         1         9         7         10        6         
Vardas353       Pavarde353                        10        1         8         2         10        8         
Vardas354       Pavarde354                        1         4         2         9         8         8         
Vardas355       Pavarde355                        7         8         9         4         9         4         
Vardas356       Pavarde356                        10        9         3         8         10        2         
Vardas357       Pavarde357                        5         3         5         9         10        5         
Vardas358       Pavarde358                        7         6         3         2         10        3         
Vardas359       Pavarde359                        6         6         1         6         5         8         
Vardas360       Pavarde360                        4         8         2         1         5         1         
Vardas361       Pavarde361                        10        4         3         3         1         10        
Vardas362       Pavarde362                        2         3         5         7         3         1         
Vardas363       Pavarde363                        9         7         5         10        7         4         
Vardas364       Pavarde364                        6         1         10        7         5         8         
Vardas365       Pavarde365                        7         9         4         1         6         2         
Vardas366       Pavarde366                        6         5         1         6         10        2         
Vardas367       Pavarde367                        4         1         3         7         8         8         
Vardas368       Pavarde368                        8         10        5         7         9         8         
Vardas369       Pavarde369                        9         6         4         9         8         5         
Vardas370       Pavarde370                        5         3         6         7         3         1         
Vardas371       Pavarde371                        10        9         4         1         9         1         
Vardas372       Pavarde372                        3         7         1         5         3         8         
Vardas373       Pavarde373                        3         1         4         1         2         2         
Vardas374       Pavarde374                        3         7         6         9         10        9         
Vardas375       Pavarde375                        8         8         7         9         8         4         
Vardas376       Pavarde376                        1         8         3         3         7         7         
Vardas377       Pavarde377                        5         6         8         6         9         5         
Vardas378       Pavarde378                        4         5         5         3         7         3         
Vardas379       Pavarde379                        9         1         5         9         5         1         
Vardas380       Pavarde380                        5         7         1         10        7         10        
Vardas381       Pavarde381                        8         1         2         7         8         1         
Vardas382       Pavarde382                        3         9         3         7         1         5         
Vardas383       Pavarde383                        3         4         6         9         10        10        
Vardas384       Pavarde384                        3         7         9         10        1         8         
Vardas385       Pavarde385                        1         4         5         3         9         5         
Vardas386       Pavarde386                        5         4         7         3         2         6         
Vardas387       Pavarde387                        4         2         10        2         6         10        
Vardas388       Pavarde388                        5         7         10        10        3         2         
Vardas389       Pavarde389                        2         1         4         10        7         2         
Vardas390       Pavarde390                        5         7         7         3         5         6         
Vardas391       Pavarde391                        7         1         5         8         6         10        
Vardas392       Pavarde392                        7         4         7         9         2         6         
Vardas393       Pavarde393                        5         5         4         7         4         10        
Vardas394       Pavarde394                        1         8         5         9         8         5         
Vardas395       Pavarde395                        4         8         6         4         6         7         
Vardas396       Pavarde396                        8         5         10        9         3         2         
Vardas397       Pavarde397                        9         3         1         1         8         4         
Vardas398       Pavarde398                        10        5         7         2         3         10        
Vardas399       Pavarde399                        8         6         6         1         9         8         
Vardas400       Pavarde400                        7         1         3         6         9         1         
Vardas401       Pavarde401                        4         6         10        3         3         4         
Vardas402       Pavarde402                        10        8         1         5         8         3         
Vardas403       Pavarde403                        2         9         6         3         7         7         
Vardas404       Pavarde404                        7         2         4         3         7         9         
Vardas405       Pavarde405                        9         7         10        7         7         2         
Vardas406       Pavarde406                        8         7         6         7         7         5         
Vardas407       Pavarde407                        3         7         10        9         3         6         
Vardas408       Pavarde408                        5         9         4         1         7         9         
Vardas409       Pavarde409                        8         6         6         5         6         10        
Vardas410       Pavarde410                        2         3         5         7         5         3         
Vardas411       Pavarde411                        4         3         10        4         8         9         
Vardas412       Pavarde412                        5         4         7         2         7         10        
Vardas413       Pavarde413                        10        10        2         9         9         9         
Vardas414       Pavarde414                        2         10        1         1         2         9         
Vardas415       Pavarde415                        3         7         5         4         2         8         
Vardas416       Pavarde416                        2         7         3         10        1         9         
Vardas417       Pavarde417                        4         10        8         1         10        8         
Vardas418       Pavarde418                        9         3         1         4         7         3         
Vardas419       Pavarde419                        2         1         9         8         10        4         
Vardas420       Pavarde420                        10        4         4         5         8         6         
Vardas421       Pavarde421                        6         2         1         1         5         4         
Vardas422       Pavarde422                        3         10        9         5         3         7         
Vardas423       Pavarde423                        6         1         6         2         2         1         
Vardas424       Pavarde424                        6         10        4         4         6         7         
Vardas425       Pavarde425                        2         3         10        2         8         3         
Vardas426       Pavarde426                        3         7         8         4         10        10        
Vardas427       Pavarde427                        3         2         6         3         6         3         
Vardas428       Pavarde428                        5         3         10        7         6         2         
Vardas429       Pavarde429                        8         2         5         1         9         3         
Vardas430       Pavarde430                        7         2         2         4         1         5         
Vardas431       Pavarde431                        6         9         8         2         10        9         
Vardas432       Pavarde432                        9         1         6         10        4         5         
Vardas433       Pavarde433                        3         10        10        1         1         8         
Vardas434       Pavarde434                        3         9         9         4         6         7         
Vardas435       Pavarde435                        6         8         6         7         3         1         
Vardas436       Pavarde436                        1         5         2         2         1         9         
Vardas437       Pavarde437                        6         10        6         10        1         10        
Vardas438       Pavarde438                        10        2         5         6         9         3         
Vardas439       Pavarde439                        6         5         9         3         4         3         
Vardas440       Pavarde440                        1         8         6         4         6         8         
Vardas441       Pavarde441                        5         5         9         4         2         1         
Vardas442       Pavarde442                        1         6         1         6         1         1         
Vardas443       Pavarde443                        9         7         8         1         6         6         
Vardas444       Pavarde444                        6         10        8         6         1         6         
Vardas445       Pavarde445                        9         5         10        2         6         3         
Vardas446       Pavarde446                        5         8         4         9         5         5         
Vardas447       Pavarde447                        3         8         10        10        9         3         
Vardas448       Pavarde448                        2         2         7         8         9         4         
Vardas449       Pavarde449                        1         5         5         8         4         9         
Vardas450       Pavarde450                        3         5         1         1         2         7         
Vardas451       Pavarde451                        7         4         1         7         10        7         
Vardas452       Pavarde452                        3         7         7         8         6         9         
Vardas453       Pavarde453                        3         9         8         10        4         9         
Vardas454       Pavarde454                        10        5         6         2         10        5         
Vardas455       Pavarde455                        7         5         2         3         5         8         
Vardas456       Pavarde456                        7         9         4         10        4         5         
Vardas457       Pavarde457                        1         6         3         9         7         10        
Vardas458       Pavarde458                        7         2         3         9         7         9         
Vardas459       Pavarde459                        6         9         1         5         6         2         
Vardas460       Pavarde460                        1         10        9         9         1         4         
Vardas461       Pavarde461                        3         8         8         6         6         1         
Vardas462       Pavarde462                        4         3         6         7         8         9         
Vardas463       Pavarde463                        8         2         7         9         6         2         
Vardas464       Pavarde464                        8         9         10        5         6         2         
Vardas465       Pavarde465                        8         3         5         1         3         5         
Vardas466       Pavarde466                        10        4         1         2         2         4         
Vardas467       Pavarde467                        6         6         5         5         5         6         
Vardas468       Pavarde468                        6         5         9         2         2         6         
Vardas469       Pavarde469                        5         6         10        7         9         1         
Vardas470       Pavarde470                        5         6         7         7         2         5         
Vardas471       Pavarde471                        9         8         1         9         10        7         
Vardas472       Pavarde472                        2         9         9         6         1         9         
Vardas473       Pavarde473                        3         6         4         8         3         3         
Vardas474       Pavarde474                        2         4         5         2         8         8         
Vardas475       Pavarde475                        8         4         8         2         8         3         
Vardas476       Pavarde476                        3         6         6         7         1         8         
Vardas477       Pavarde477                        2         1         5         3         7         9         
Vardas478       Pavarde478                        8         10        9         7         5         5         
Vardas479       Pavarde479                        6         4         7         5         1         1         
Vardas480       Pavarde480                        5         6         10        3         8         6         
Vardas481       Pavarde481                        3         4         5         8         6         10        
Vardas482       Pavarde482                        1         7         8         5         1         10        
Vardas483       Pavarde483                        5         3         4         7         4         4         
Vardas484       Pavarde484                        7         9         7         7         7         5         
Vardas485       Pavarde485                        4         9         5         5         6         6         
Vardas486       Pavarde486                        6         6         5         6         8         6         
Vardas487       Pavarde487                        5         4         1         4         5         2         
Vardas488       Pavarde488                        1         6         4         6         7         10        
Vardas489       Pavarde489                        7         6         8         4         6         1         
Vardas490       Pavarde490                        9         7         5         2         7         5         
Vardas491       Pavarde491                        9         2         8         1         4         10        
Vardas492       Pavarde492                        6         6         9         7         2         6         
Vardas493       Pavarde493                        4         10        4         9         5         7         
Vardas494       Pavarde494                        8         3         7         5         10        6         
Vardas495       Pavarde495                        9         7         3         10        6         3         
Vardas496       Pavarde496                        1         6         9         4         1         10        
Vardas497       Pavarde497                        4         1         9         2         7         10        
Vardas498       Pavarde498                        2         2         10        10        8         10        
Vardas499       Pavarde499                        5         10        9         5         9         8         
Vardas500       Pavarde500                        9         3         9         2         8         7         
Vardas501       Pavarde501                        8         6         10        4         1         4         
Vardas502       Pavarde502                        3         1         10        1         3         9         
Vardas503       Pavarde503                        3         4         5         10        4         10        
Vardas504       Pavarde504                        4         8         5         1         6         8         
Vardas505       Pavarde505                        3         2         3         7         5         10        
Vardas506       Pavarde506                        3         6         5         3         4         3         
Vardas507       Pavarde507                        10        2         10        8         1         1         
Vardas508       Pavarde508                        7         4         9         3         3         2         
Vardas509       Pavarde509                        7         1         2         1         2         9         
Vardas510       Pavarde510                        1         8         2         1         4         10        
Vardas511       Pavarde511                        8         7         5         3         9         10        
Vardas512       Pavarde512                        4         1         7         7         10        7         
Vardas513       Pavarde513                        9         4         3         6         3         4         
Vardas514       Pavarde514                        10        1         6         6         8         3         
Vardas515       Pavarde515                        4         7         4         7         2         4         
